contact_duration,number_contacts,previous_days,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
261,1,999,0,,,1,2022-05-13
149,1,999,0,,,1,2022-05-19
226,1,999,0,,,1,2022-05-23
151,1,999,0,,,1,2022-05-27
307,1,999,0,,,1,2022-05-03
198,1,999,0,,,1,2022-05-05
139,1,999,0,,,1,2022-05-03
217,1,999,0,,,1,2022-05-12
380,1,999,0,,,1,2022-05-21
50,1,999,0,,,1,2022-05-05
55,1,999,0,,,1,2022-05-08
222,1,999,0,,,1,2022-05-09
137,1,999,0,,,1,2022-05-29
293,1,999,0,,,1,2022-05-14
146,1,999,0,,,1,2022-05-29
174,1,999,0,,,1,2022-05-29
312,1,999,0,,,1,2022-05-01
440,1,999,0,,,1,2022-05-09
353,1,999,0,,,1,2022-05-06
195,1,999,0,,,1,2022-05-02
38,1,999,0,,,1,2022-05-02
262,1,999,0,,,1,2022-05-16
342,1,999,0,,,1,2022-05-20
181,1,999,0,,,1,2022-05-10
172,1,999,0,,,1,2022-05-02
99,1,999,0,,,1,2022-05-28
93,1,999,0,,,1,2022-05-30
233,1,999,0,,,1,2022-05-16
255,2,999,0,,,1,2022-05-01
362,1,999,0,,,1,2022-05-22
348,1,999,0,,,1,2022-05-22
386,1,999,0,,,1,2022-05-27
73,1,999,0,,,1,2022-05-25
230,1,999,0,,,1,2022-05-14
208,1,999,0,,,1,2022-05-25
336,1,999,0,,,1,2022-05-22
365,1,999,0,,,1,2022-05-11
1666,1,999,0,,,1,2022-05-03
577,1,999,0,,,1,2022-05-02
137,1,999,0,,,1,2022-05-20
366,1,999,0,,,1,2022-05-05
314,1,999,0,,,1,2022-05-25
160,1,999,0,,,1,2022-05-22
212,1,999,0,,,1,2022-05-01
188,1,999,0,,,1,2022-05-17
22,1,999,0,,,1,2022-05-28
616,1,999,0,,,1,2022-05-15
178,1,999,0,,,1,2022-05-03
355,1,999,0,,,1,2022-05-26
225,2,999,0,,,1,2022-05-26
160,1,999,0,,,1,2022-05-03
266,1,999,0,,,1,2022-05-09
253,1,999,0,,,1,2022-05-11
179,1,999,0,,,1,2022-05-13
269,2,999,0,,,1,2022-05-12
135,1,999,0,,,1,2022-05-08
161,1,999,0,,,1,2022-05-17
787,1,999,0,,,1,2022-05-08
145,1,999,0,,,1,2022-05-08
174,1,999,0,,,1,2022-05-18
449,1,999,0,,,1,2022-05-03
812,1,999,0,,,1,2022-05-23
164,1,999,0,,,1,2022-05-27
366,1,999,0,,,1,2022-05-29
357,1,999,0,,,1,2022-05-19
232,1,999,0,,,1,2022-05-15
91,1,999,0,,,1,2022-05-16
273,1,999,0,,,1,2022-05-21
158,2,999,0,,,1,2022-05-29
177,1,999,0,,,1,2022-05-04
200,1,999,0,,,1,2022-05-28
172,1,999,0,,,1,2022-05-26
176,1,999,0,,,1,2022-05-18
211,1,999,0,,,1,2022-05-14
214,1,999,0,,,1,2022-05-26
1575,1,999,0,,,1,2022-05-20
349,1,999,0,,,1,2022-05-16
337,2,999,0,,,1,2022-05-28
272,1,999,0,,,1,2022-05-30
208,1,999,0,,,1,2022-05-21
193,1,999,0,,,1,2022-05-29
212,1,999,0,,,1,2022-05-29
165,2,999,0,,,1,2022-05-27
1042,1,999,0,,,1,2022-05-06
20,1,999,0,,,1,2022-05-23
246,1,999,0,,,1,2022-05-12
529,2,999,0,,,1,2022-05-23
192,1,999,0,,,1,2022-05-21
1467,1,999,0,,,1,2022-05-19
188,2,999,0,,,1,2022-05-17
180,2,999,0,,,1,2022-05-29
48,1,999,0,,,1,2022-05-05
213,2,999,0,,,1,2022-05-02
545,1,999,0,,,1,2022-05-27
583,1,999,0,,,1,2022-05-28
221,1,999,0,,,1,2022-05-25
426,1,999,0,,,1,2022-05-17
287,1,999,0,,,1,2022-05-27
197,1,999,0,,,1,2022-05-30
257,1,999,0,,,1,2022-05-03
229,1,999,0,,,1,2022-05-25
55,3,999,0,,,1,2022-05-30
400,1,999,0,,,1,2022-05-27
197,1,999,0,,,1,2022-05-19
190,1,999,0,,,1,2022-05-24
21,1,999,0,,,1,2022-05-08
300,2,999,0,,,1,2022-05-22
123,2,999,0,,,1,2022-05-09
293,1,999,0,,,1,2022-05-15
325,1,999,0,,,1,2022-05-09
514,1,999,0,,,1,2022-05-04
849,2,999,0,,,1,2022-05-01
194,1,999,0,,,1,2022-05-25
212,2,999,0,,,1,2022-05-04
337,2,999,0,,,1,2022-05-06
286,1,999,0,,,1,2022-05-20
247,2,999,0,,,1,2022-05-31
518,1,999,0,,,1,2022-05-24
364,1,999,0,,,1,2022-05-06
178,1,999,0,,,1,2022-05-26
98,1,999,0,,,1,2022-05-21
439,1,999,0,,,1,2022-05-01
139,1,999,0,,,1,2022-05-18
79,1,999,0,,,1,2022-05-09
175,1,999,0,,,1,2022-05-26
262,2,999,0,,,1,2022-05-21
61,1,999,0,,,1,2022-05-31
78,1,999,0,,,1,2022-05-24
102,2,999,0,,,1,2022-05-23
579,1,999,0,,,1,2022-05-12
143,1,999,0,,,1,2022-05-29
677,1,999,0,,,1,2022-05-20
267,1,999,0,,,1,2022-05-22
345,1,999,0,,,1,2022-05-12
185,1,999,0,,,1,2022-05-19
207,1,999,0,,,1,2022-05-05
69,2,999,0,,,1,2022-05-26
100,2,999,0,,,1,2022-05-19
125,2,999,0,,,1,2022-05-28
461,1,999,0,,,1,2022-05-27
240,1,999,0,,,1,2022-05-16
70,1,999,0,,,1,2022-05-22
193,1,999,0,,,1,2022-05-24
136,1,999,0,,,1,2022-05-17
73,1,999,0,,,1,2022-05-24
528,1,999,0,,,1,2022-05-06
541,1,999,0,,,1,2022-05-11
338,1,999,0,,,1,2022-05-16
163,1,999,0,,,1,2022-05-28
87,1,999,0,,,1,2022-05-25
301,1,999,0,,,1,2022-05-03
46,1,999,0,,,1,2022-05-22
52,1,999,0,,,1,2022-05-08
204,1,999,0,,,1,2022-05-03
155,1,999,0,,,1,2022-05-12
98,1,999,0,,,1,2022-05-15
71,1,999,0,,,1,2022-05-25
243,1,999,0,,,1,2022-05-29
186,2,999,0,,,1,2022-05-07
579,2,999,0,,,1,2022-05-27
165,2,999,0,,,1,2022-05-03
163,2,999,0,,,1,2022-05-09
46,1,999,0,,,1,2022-05-29
559,3,999,0,,,1,2022-05-15
2033,1,999,0,,,1,2022-05-18
85,1,999,0,,,1,2022-05-22
506,1,999,0,,,1,2022-05-04
114,2,999,0,,,1,2022-05-12
114,2,999,0,,,1,2022-05-19
843,2,999,0,,,1,2022-05-25
181,1,999,0,,,1,2022-05-12
427,1,999,0,,,1,2022-05-05
292,1,999,0,,,1,2022-05-24
192,1,999,0,,,1,2022-05-07
93,3,999,0,,,1,2022-05-02
128,2,999,0,,,1,2022-05-09
107,1,999,0,,,1,2022-05-29
303,2,999,0,,,1,2022-05-13
81,1,999,0,,,1,2022-05-11
270,1,999,0,,,1,2022-05-30
228,1,999,0,,,1,2022-05-12
240,1,999,0,,,1,2022-05-31
673,2,999,0,,,1,2022-05-20
233,3,999,0,,,1,2022-05-08
102,1,999,0,,,1,2022-05-13
461,1,999,0,,,1,2022-05-19
250,1,999,0,,,1,2022-05-20
130,1,999,0,,,1,2022-05-03
252,1,999,0,,,1,2022-05-18
138,1,999,0,,,1,2022-05-19
412,1,999,0,,,1,2022-05-10
179,2,999,0,,,1,2022-05-19
19,2,999,0,,,1,2022-05-07
228,2,999,0,,,1,2022-05-26
55,1,999,0,,,1,2022-05-31
717,1,999,0,,,1,2022-05-06
313,1,999,0,,,1,2022-05-07
289,1,999,0,,,1,2022-05-29
683,2,999,0,,,1,2022-05-25
1077,1,999,0,,,1,2022-05-29
146,2,999,0,,,1,2022-05-09
167,1,999,0,,,1,2022-05-15
356,2,999,0,,,1,2022-05-20
277,1,999,0,,,1,2022-05-13
172,1,999,0,,,1,2022-05-09
218,1,999,0,,,1,2022-05-10
217,1,999,0,,,1,2022-05-04
67,1,999,0,,,1,2022-05-26
291,1,999,0,,,1,2022-05-08
248,1,999,0,,,1,2022-05-24
256,1,999,0,,,1,2022-05-19
286,1,999,0,,,1,2022-05-25
477,1,999,0,,,1,2022-05-31
611,2,999,0,,,1,2022-05-05
471,1,999,0,,,1,2022-05-14
381,2,999,0,,,1,2022-05-22
251,1,999,0,,,1,2022-05-02
408,1,999,0,,,1,2022-05-20
287,1,999,0,,,1,2022-05-29
322,3,999,0,,,1,2022-05-09
216,2,999,0,,,1,2022-05-20
366,2,999,0,,,1,2022-05-26
210,1,999,0,,,1,2022-05-26
288,1,999,0,,,1,2022-05-19
168,1,999,0,,,1,2022-05-15
132,1,999,0,,,1,2022-05-17
64,2,999,0,,,1,2022-05-26
209,2,999,0,,,1,2022-05-08
410,3,999,0,,,1,2022-05-09
177,1,999,0,,,1,2022-05-19
580,2,999,0,,,1,2022-05-06
165,1,999,0,,,1,2022-05-23
127,2,999,0,,,1,2022-05-27
357,1,999,0,,,1,2022-05-17
175,1,999,0,,,1,2022-05-10
300,1,999,0,,,1,2022-05-06
136,1,999,0,,,1,2022-05-19
125,2,999,0,,,1,2022-05-24
189,2,999,0,,,1,2022-05-04
213,3,999,0,,,1,2022-05-02
238,2,999,0,,,1,2022-05-10
124,1,999,0,,,1,2022-05-04
18,1,999,0,,,1,2022-05-02
730,2,999,0,,,1,2022-05-17
40,1,999,0,,,1,2022-05-11
181,2,999,0,,,1,2022-05-16
79,1,999,0,,,1,2022-05-20
142,2,999,0,,,1,2022-05-06
389,1,999,0,,,1,2022-05-10
702,1,999,0,,,1,2022-05-24
151,1,999,0,,,1,2022-05-23
211,1,999,0,,,1,2022-05-07
117,1,999,0,,,1,2022-05-26
232,3,999,0,,,1,2022-05-24
408,2,999,0,,,1,2022-05-08
370,3,999,0,,,1,2022-05-15
179,2,999,0,,,1,2022-05-06
46,1,999,0,,,1,2022-05-01
200,1,999,0,,,1,2022-05-22
50,1,999,0,,,1,2022-05-04
181,1,999,0,,,1,2022-05-07
119,1,999,0,,,1,2022-05-26
361,1,999,0,,,1,2022-05-17
73,3,999,0,,,1,2022-05-16
67,2,999,0,,,1,2022-05-24
350,1,999,0,,,1,2022-05-10
150,2,999,0,,,1,2022-05-18
332,2,999,0,,,1,2022-05-09
611,2,999,0,,,1,2022-05-13
58,3,999,0,,,1,2022-05-25
151,1,999,0,,,1,2022-05-26
